"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210501 ~ 20220419"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 남양주시"
"읍면동 : 별내동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"경기도 남양주시 별내동","914","0914","0000","상록리슈빌","84.97","202109","11","78,700","8","2013","별내5로 119","","-","-"
"경기도 남양주시 별내동","914","0914","0000","상록리슈빌","84.97","202109","30","76,500","1","2013","별내5로 119","","-","-"
"경기도 남양주시 별내동","914","0914","0000","상록리슈빌","84.97","202110","1","77,200","5","2013","별내5로 119","","-","-"
"경기도 남양주시 별내동","914","0914","0000","상록리슈빌","84.97","202111","4","77,000","8","2013","별내5로 119","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","914","0914","0000","상록리슈빌","84.96","202203","1","78,500","8","2013","별내5로 119","","중개거래","경기 의정부시"
"경기도 남양주시 별내동","914","0914","0000","상록리슈빌","84.97","202203","15","75,000","15","2013","별내5로 119","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202105","24","77,000","10","2012","순화궁로 18","20220119","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202106","7","77,700","6","2012","순화궁로 18","","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.995","202106","18","79,300","2","2012","순화궁로 18","","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202106","22","81,000","18","2012","순화궁로 18","","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202106","24","78,300","6","2012","순화궁로 18","","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202106","29","79,700","9","2012","순화궁로 18","","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202107","5","60,000","17","2012","순화궁로 18","","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202107","10","81,500","5","2012","순화궁로 18","","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202108","19","78,800","3","2012","순화궁로 18","","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202109","11","80,000","8","2012","순화궁로 18","","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202110","9","83,500","12","2012","순화궁로 18","","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.995","202110","11","83,000","4","2012","순화궁로 18","","-","-"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.995","202112","20","83,500","16","2012","순화궁로 18","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.995","202201","7","78,000","5","2012","순화궁로 18","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202201","11","77,000","7","2012","순화궁로 18","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202201","19","78,000","10","2012","순화궁로 18","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.995","202202","25","80,000","20","2012","순화궁로 18","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202203","15","81,000","18","2012","순화궁로 18","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.992","202203","31","76,700","4","2012","순화궁로 18","","중개거래","경기 남양주시"
"경기도 남양주시 별내동","1050","1050","0000","신일유토빌","104.802","202105","10","79,500","2","2012","별내4로 63","","-","-"
"경기도 남양주시 별내동","1050","1050","0000","신일유토빌","122.759","202105","23","80,000","8","2012","별내4로 63","","-","-"
"경기도 남양주시 별내동","1050","1050","0000","신일유토빌","122.759","202107","27","89,500","16","2012","별내4로 63","","-","-"
"경기도 남양주시 별내동","1050","1050","0000","신일유토빌","104.802","202108","16","84,800","3","2012","별내4로 63","","-","-"
"경기도 남양주시 별내동","1050","1050","0000","신일유토빌","123.071","202108","17","95,000","20","2012","별내4로 63","","-","-"
"경기도 남양주시 별내동","1050","1050","0000","신일유토빌","104.802","202108","20","84,000","5","2012","별내4로 63","","-","-"
